horodatage;code_http;duree_ms;serveur
2026-09-17T15:46:38.078;200;14;web1
2026-09-17T15:46:38.309;200;7;web1
2026-09-17T15:46:38.539;200;5;web1
2026-09-17T15:46:38.769;200;5;web1
2026-09-17T15:46:39.001;200;6;web1
2026-09-17T15:46:39.234;200;5;web1
2026-09-17T15:46:39.465;200;5;web1
2026-09-17T15:46:39.697;200;6;web1
2026-09-17T15:46:39.929;200;6;web1
2026-09-17T15:46:40.159;200;5;web1
2026-09-17T15:46:40.391;200;6;web1
2026-09-17T15:46:40.627;200;7;web1
2026-09-17T15:46:40.859;200;5;web1
2026-09-17T15:46:41.090;200;5;web1
2026-09-17T15:46:41.321;200;5;web1
2026-09-17T15:46:41.555;200;6;web1
2026-09-17T15:46:41.789;200;5;web1
2026-09-17T15:46:42.023;200;7;web1
2026-09-17T15:46:42.254;200;5;web1
2026-09-17T15:46:42.485;200;5;web1
2026-09-17T15:46:42.718;200;6;web1
2026-09-17T15:46:42.951;200;6;web1
2026-09-17T15:46:43.182;200;6;web1
2026-09-17T15:46:43.426;200;14;web1
2026-09-17T15:46:43.658;200;6;web1
2026-09-17T15:46:43.890;200;6;web1
2026-09-17T15:46:44.156;200;5;web1
2026-09-17T15:46:44.390;200;7;web1
2026-09-17T15:46:44.637;200;6;web1
2026-09-17T15:46:44.871;200;5;web1
2026-09-17T15:46:45.105;200;5;web1
2026-09-17T15:46:45.338;200;5;web1
2026-09-17T15:46:45.570;200;6;web1
2026-09-17T15:46:45.804;200;6;web1
2026-09-17T15:46:46.037;200;5;web1
2026-09-17T15:46:46.270;200;6;web1
2026-09-17T15:46:46.503;200;8;web1
2026-09-17T15:46:46.733;200;5;web1
2026-09-17T15:46:46.967;200;7;web1
2026-09-17T15:46:47.199;200;5;web1
2026-09-17T15:46:47.433;200;6;web1
2026-09-17T15:46:47.666;200;7;web1
2026-09-17T15:46:47.898;200;6;web1
2026-09-17T15:46:48.130;200;6;web1
2026-09-17T15:46:48.363;200;6;web1
2026-09-17T15:46:48.600;200;5;web1
2026-09-17T15:46:48.840;200;5;web1
2026-09-17T15:46:49.074;200;5;web1
2026-09-17T15:46:49.307;200;6;web1
2026-09-17T15:46:49.539;200;5;web1
2026-09-17T15:46:49.772;200;5;web1
2026-09-17T15:46:50.002;200;5;web1
2026-09-17T15:46:50.236;200;5;web1
2026-09-17T15:46:50.466;200;5;web1
2026-09-17T15:46:50.699;200;6;web1
2026-09-17T15:46:50.931;200;5;web1
2026-09-17T15:46:51.163;200;6;web1
2026-09-17T15:46:51.395;200;5;web1
2026-09-17T15:46:51.627;200;6;web1
2026-09-17T15:46:51.860;200;6;web1
2026-09-17T15:46:52.104;200;6;web1
2026-09-17T15:46:52.337;200;5;web1
2026-09-17T15:46:52.802;200;6;web1
2026-09-17T15:46:53.034;200;6;web1
2026-09-17T15:46:53.267;200;6;web1
2026-09-17T15:46:53.501;200;6;web1
2026-09-17T15:46:53.734;200;5;web1
2026-09-17T15:46:53.966;200;5;web1
2026-09-17T15:46:54.903;200;6;web1
2026-09-17T15:46:55.835;200;5;web1
2026-09-17T15:46:56.075;200;6;web1
2026-09-17T15:46:56.314;200;6;web1
2026-09-17T15:46:56.543;200;5;web1
2026-09-17T15:46:57.474;200;6;web1
2026-09-17T15:46:57.711;200;8;web1
2026-09-17T15:46:57.943;200;5;web1
2026-09-17T15:46:58.177;200;5;web1
2026-09-17T15:46:59.117;200;5;web1
2026-09-17T15:46:59.379;200;6;web1
2026-09-17T15:46:59.622;200;7;web1
2026-09-17T15:46:59.857;200;7;web1
2026-09-17T15:47:00.094;200;6;web1
2026-09-17T15:47:00.329;200;6;web1
2026-09-17T15:47:00.560;200;5;web1
2026-09-17T15:47:00.791;200;5;web1
2026-09-17T15:47:01.024;200;5;web1
2026-09-17T15:47:01.256;200;5;web1
2026-09-17T15:47:01.487;200;5;web1
2026-09-17T15:47:01.725;200;6;web1
2026-09-17T15:47:01.958;200;7;web1
2026-09-17T15:47:02.190;200;6;web1
2026-09-17T15:47:03.130;200;6;web1
2026-09-17T15:47:03.362;200;6;web1
2026-09-17T15:47:03.593;200;5;web1
2026-09-17T15:47:03.827;200;8;web1
2026-09-17T15:47:04.059;200;5;web1
2026-09-17T15:47:04.290;200;5;web1
2026-09-17T15:47:04.522;200;5;web1
2026-09-17T15:47:04.755;200;7;web1
2026-09-17T15:47:04.988;200;6;web1
2026-09-17T15:47:05.219;200;5;web1
2026-09-17T15:47:05.451;200;5;web1
2026-09-17T15:47:05.683;200;7;web1
2026-09-17T15:47:05.921;200;5;web1
2026-09-17T15:47:06.152;200;5;web1
2026-09-17T15:47:06.386;200;6;web1
2026-09-17T15:47:06.619;200;5;web1
2026-09-17T15:47:06.851;200;6;web1
2026-09-17T15:47:07.084;200;5;web1
2026-09-17T15:47:07.322;200;5;web1
2026-09-17T15:47:07.553;200;6;web1
2026-09-17T15:47:07.785;200;5;web1
2026-09-17T15:47:08.020;200;6;web1
2026-09-17T15:47:08.253;200;5;web1
2026-09-17T15:47:08.486;200;5;web1
2026-09-17T15:47:08.719;200;6;web1
2026-09-17T15:47:08.951;200;7;web1
2026-09-17T15:47:09.188;200;6;web1
2026-09-17T15:47:09.440;200;7;web1
2026-09-17T15:47:09.672;200;5;web1
2026-09-17T15:47:09.903;200;5;web1
2026-09-17T15:47:10.138;200;6;web1
2026-09-17T15:47:10.370;200;6;web1
2026-09-17T15:47:10.603;200;6;web1
2026-09-17T15:47:10.839;200;6;web1
2026-09-17T15:47:11.076;200;6;web1
2026-09-17T15:47:11.309;200;5;web1
2026-09-17T15:47:11.542;200;6;web1
2026-09-17T15:47:11.775;200;6;web1
2026-09-17T15:47:12.006;200;5;web1
2026-09-17T15:47:12.238;200;6;web1
2026-09-17T15:47:12.471;200;5;web1
2026-09-17T15:47:12.705;200;5;web1
2026-09-17T15:47:12.934;200;5;web1
2026-09-17T15:47:13.166;200;7;web1
2026-09-17T15:47:13.400;200;6;web1
2026-09-17T15:47:13.633;200;5;web1
2026-09-17T15:47:13.870;200;6;web1
2026-09-17T15:47:14.106;200;8;web1
2026-09-17T15:47:14.336;200;5;web1
2026-09-17T15:47:14.569;200;5;web1
2026-09-17T15:47:14.806;200;5;web1
2026-09-17T15:47:15.039;200;5;web1
2026-09-17T15:47:15.274;200;5;web1
2026-09-17T15:47:15.514;200;5;web1
2026-09-17T15:47:15.746;200;5;web1
2026-09-17T15:47:15.977;200;5;web1
2026-09-17T15:47:16.209;200;6;web1
2026-09-17T15:47:16.443;200;6;web1
2026-09-17T15:47:16.677;200;6;web1
2026-09-17T15:47:16.909;200;5;web1
2026-09-17T15:47:17.142;200;7;web1
2026-09-17T15:47:17.375;200;6;web1
2026-09-17T15:47:17.607;200;6;web1
2026-09-17T15:47:17.838;200;6;web1
2026-09-17T15:47:18.081;200;5;web1
2026-09-17T15:47:18.314;200;6;web1
2026-09-17T15:47:18.544;200;5;web1
2026-09-17T15:47:18.775;200;5;web1
2026-09-17T15:47:19.009;200;5;web1
2026-09-17T15:47:19.243;200;6;web1
2026-09-17T15:47:19.474;200;5;web1
2026-09-17T15:47:19.707;200;6;web1
2026-09-17T15:47:19.938;200;5;web1
2026-09-17T15:47:20.171;200;7;web1
2026-09-17T15:47:20.403;200;5;web1
2026-09-17T15:47:20.637;200;6;web1
2026-09-17T15:47:20.866;200;5;web1
2026-09-17T15:47:21.109;200;6;web1
2026-09-17T15:47:21.341;200;5;web1
2026-09-17T15:47:21.578;200;6;web1
2026-09-17T15:47:21.811;200;7;web1
2026-09-17T15:47:22.043;200;6;web1
2026-09-17T15:47:22.275;200;5;web1
2026-09-17T15:47:22.507;200;5;web1
2026-09-17T15:47:22.741;200;5;web1
2026-09-17T15:47:22.973;200;5;web1
2026-09-17T15:47:23.204;200;5;web1
2026-09-17T15:47:23.436;200;5;web1
2026-09-17T15:47:23.669;200;5;web1
2026-09-17T15:47:23.902;200;6;web1
2026-09-17T15:47:24.134;200;6;web1
2026-09-17T15:47:24.369;200;6;web1
2026-09-17T15:47:24.603;200;6;web1
2026-09-17T15:47:24.835;200;5;web1
2026-09-17T15:47:25.067;200;6;web1
2026-09-17T15:47:25.298;200;6;web1
2026-09-17T15:47:25.530;200;6;web1
2026-09-17T15:47:25.761;200;5;web1
2026-09-17T15:47:25.993;200;5;web1
2026-09-17T15:47:26.226;200;5;web1
2026-09-17T15:47:26.458;200;6;web1
2026-09-17T15:47:26.690;200;6;web1
2026-09-17T15:47:26.921;200;5;web1
2026-09-17T15:47:27.155;200;5;web1
2026-09-17T15:47:27.389;200;5;web1
2026-09-17T15:47:27.623;200;6;web1
2026-09-17T15:47:27.869;200;6;web1
2026-09-17T15:47:28.101;200;5;web1
2026-09-17T15:47:28.333;200;5;web1
2026-09-17T15:47:28.566;200;6;web1
2026-09-17T15:47:28.800;200;5;web1
2026-09-17T15:47:29.031;200;6;web1
2026-09-17T15:47:29.262;200;5;web1
2026-09-17T15:47:29.498;200;8;web1
2026-09-17T15:47:29.730;200;7;web1
2026-09-17T15:47:29.960;200;5;web1
2026-09-17T15:47:30.194;200;5;web1
2026-09-17T15:47:30.427;200;6;web1
2026-09-17T15:47:30.662;200;6;web1
2026-09-17T15:47:30.891;200;5;web1
2026-09-17T15:47:31.126;200;5;web1
2026-09-17T15:47:31.359;200;6;web1
2026-09-17T15:47:31.589;200;7;web1
2026-09-17T15:47:31.820;200;6;web1
2026-09-17T15:47:32.059;200;6;web1
2026-09-17T15:47:32.289;200;6;web1
2026-09-17T15:47:32.520;200;6;web1
2026-09-17T15:47:32.751;200;6;web1
2026-09-17T15:47:32.981;200;5;web1
2026-09-17T15:47:33.211;200;6;web1
2026-09-17T15:47:33.439;200;5;web1
